RepName,length,RPKM (0h),t1/2 (h)
NM_013359,2534,1.36,2.2
NM_020639,3890,1.68,2.2
NM_182627,1584,5.47,2.2
NM_018133,4696,11.16,2.2
NM_001234,1425,1.35,2.2
NM_018657,3178,7.41,2.2
NM_001002026,3359,2.75,2.2
NM_173552,4091,8.35,2.2
NM_198469,699,1.93,2.2
NM_006079,1930,16.6,2.2
NM_016487,923,10.14,2.2
NM_002648,2684,8.01,2.2
NM_145111,2507,2.38,2.2
NM_017715,2603,25.43,2.2
NM_152739,2076,1.34,2.2
NM_152626,3125,2.53,2.2
NM_001505,2981,1.1,2.2
NM_203309,3484,25.59,2.2
NM_080867,7029,2.99,2.2
NM_024644,2463,35.11,2.2
NM_174943,891,1.51,2.2
NM_001013638,1209,2.71,2.2
NM_030624,2146,22.98,2.2
NM_017622,1758,4,2.2
NM_020233,1518,3.93,2.2
NM_002033,5937,5.26,2.2
NM_001033517,1490,2.2,2.2
NM_025201,3675,9.97,2.2
NM_033211,3028,16.12,2.22
NM_000958,3432,5.25,2.22
NM_001024646,1887,33.44,2.22
NM_006449,3981,3.87,2.22
NM_173077,1125,1.11,2.22
NM_030577,1406,15.58,2.22
NM_002357,5587,3.93,2.22
NM_017817,1530,16.84,2.22
NM_153371,4718,4.45,2.22
NM_001039799,3249,1.42,2.22
NM_032199,7507,24.93,2.22
NM_145202,740,4.82,2.22
NM_006038,4058,7.53,2.22
NM_152667,2352,4.38,2.22
NM_178331,423,1.34,2.22
NM_080603,2206,8.48,2.22
NM_013248,1176,15.67,2.22
NM_018310,1978,19.46,2.22
NM_203390,4718,11.68,2.22
NM_145214,2715,27.76,2.22
NM_003993,2175,23.56,2.22
NM_025106,3081,18.91,2.22
NM_020897,3717,2.07,2.22
NM_052841,1330,1.81,2.22
NM_004364,2385,5.62,2.22
NM_001008727,1735,18.74,2.22
NM_152360,2501,1.92,2.22
NM_178523,3070,4.05,2.22
NM_133473,3815,2.25,2.22
NM_024967,1632,6.97,2.22
NM_152604,1694,3.92,2.22
NM_001008401,3681,1.3,2.22
NM_022752,3606,18.52,2.22
NM_006959,2678,3.34,2.22
NM_173631,2788,1.55,2.22
NM_145295,2772,1.73,2.22
NM_013360,1595,3.02,2.22
NM_003409,2896,3.03,2.22
NM_152470,5276,4.86,2.22
NM_020727,7370,4.74,2.22
NM_002888,1545,4.67,2.22
NM_023067,2744,7.03,2.22
NM_016362,518,4.82,2.22
NM_015508,3857,8.33,2.22
NM_173656,2200,5.61,2.22
NM_003670,2922,29.23,2.22
NM_033334,1918,26.06,2.22
NM_005802,4163,10.64,2.22
NM_025182,3045,4.24,2.22
NM_001206,5208,18.23,2.22
NM_007135,2077,7.34,2.22
NM_197977,3280,3.76,2.22
NM_006982,1442,8.29,2.22
NM_014212,2100,26.1,2.22
NM_003740,3800,10.21,2.22
NM_006290,4446,3.38,2.22
NM_152753,5115,1.67,2.22
NM_152732,931,6.73,2.22
NM_006299,1669,8.44,2.22
NM_152553,1799,16.35,2.22
NM_152556,2930,3.16,2.22
NM_152411,3354,5.43,2.22
NM_016265,5074,3.32,2.22
NM_000522,2514,1.42,2.22
NM_145115,4359,11.2,2.22
NM_017420,6214,12.09,2.22
NM_005982,1378,16.73,2.22
NM_174944,1264,1.9,2.22
NM_173475,3005,5.55,2.22
NM_001048212,1374,2.59,2.22
NM_024336,2308,10.82,2.22
NM_153261,2130,3.03,2.22
NM_006962,3598,2.33,2.22
NM_178519,2970,1,2.22
NM_003655,2655,34.13,2.22
NM_003620,3163,10.77,2.22
NM_032325,2836,24.5,2.22
NM_003390,4232,17.46,2.22
NM_133639,1167,18.02,2.22
NM_014793,2931,6.74,2.22
NM_015492,3775,18.22,2.22
NM_015322,2583,20.21,2.22
NM_203373,1526,3.34,2.22
NM_003215,3650,1.76,2.22
NM_006622,2795,16.02,2.25
NM_178450,1816,6.8,2.25
NM_173665,2030,3.03,2.25
NM_198273,4261,3.19,2.25
NM_173670,4600,10.34,2.25
NM_198256,3240,5.47,2.25
NM_014362,1744,14.99,2.25
NM_003467,1912,84.45,2.25
NM_003709,1640,24.89,2.25
NM_033111,3273,4.95,2.25
NM_006022,4815,26.19,2.25
NM_001039650,1532,2.57,2.25
NM_206808,2602,4.37,2.25
NM_147156,3767,17.75,2.25
NM_001001971,3379,12.25,2.25
NM_173192,2636,1.46,2.25
NM_012083,2222,16.59,2.25
NM_032804,3739,12.46,2.25
NM_020436,3452,30.08,2.25
NM_022482,4752,4.65,2.25
NM_033118,2683,2.04,2.25
NM_024613,2905,4.25,2.25
NM_003416,2351,16.7,2.25
NM_018941,4817,1.18,2.25
NM_024700,2531,13.04,2.25
NM_018040,2338,16.18,2.25
NM_001012970,579,2.83,2.25
NM_022836,3664,14.22,2.25
NM_001674,2361,8.25,2.25
NM_003462,2663,1.48,2.25
NM_198893,4980,2.2,2.25
NM_017656,5541,7.4,2.25
NM_032679,3067,1.06,2.25
NM_024108,822,1.99,2.25
NM_152477,1950,2.32,2.25
NM_001023561,2076,3.85,2.25
NM_144689,2990,2.35,2.25
NM_022006,713,1.61,2.25
NM_024691,2327,1.24,2.25
NM_006630,2362,3.51,2.25
NM_015675,1363,31.01,2.25
NM_173354,4723,135.18,2.25
NM_015008,6012,6.99,2.25
NM_020654,4934,1.17,2.25
NM_153690,3182,23.65,2.25
NM_016331,3013,10.05,2.25
NM_173824,1382,9.7,2.25
NM_003420,2664,7.75,2.25
NM_018847,4412,8.22,2.25
NM_001025780,3153,7.8,2.25
NM_014007,2941,11.15,2.25
NM_005511,1524,1.13,2.25
NM_001490,5536,2.17,2.25
NM_152640,2105,6.37,2.25
NM_153693,2072,27.48,2.25
NM_182492,3601,1.92,2.25
NM_032051,3812,19.87,2.25
NM_015094,6794,1.7,2.25
NM_005906,3830,1.1,2.25
NM_014895,5051,1.73,2.25
NM_206921,3335,3.99,2.25
NM_014797,5597,8.79,2.25
NM_033260,2322,10.34,2.25
NM_001453,1662,23.69,2.25
NM_001003690,1550,21.23,2.25
NM_152749,1530,26.74,2.25
NM_006213,1431,2.69,2.25
NM_003454,3609,7.14,2.25
NM_018380,2786,15.9,2.25
NM_153688,3190,7.77,2.25
NM_021242,2372,59.93,2.25
NM_005497,1889,7.3,2.25
NM_005749,1830,45.62,2.25
NM_000346,3935,3.18,2.25
NM_016078,1933,3.39,2.25
NM_004420,2377,1.66,2.25
NM_031307,1851,7.71,2.25
NM_003824,1873,38.59,2.25
NM_016090,2025,7.71,2.25
NM_018315,3896,8.96,2.25
NM_004354,2044,6.18,2.25
NM_012118,1971,25.31,2.25
NM_145291,2885,3.04,2.25
NM_016348,3818,4.72,2.27
NM_152407,4105,15.25,2.27
NM_020651,7136,1.47,2.27
NM_212556,2293,4.12,2.27
NM_017789,3537,20.79,2.27
NM_002158,5472,9.47,2.27
NM_001031716,1879,12.68,2.27
NM_001042521,4051,1.92,2.27
NM_002166,1402,2.54,2.27
NM_145197,1543,1.68,2.27
NM_153689,3702,2.05,2.27
NM_024546,3552,12.17,2.27
NM_004093,4335,6.36,2.27
NM_033397,4378,49.8,2.27
NM_021045,4883,1.83,2.27
NM_002729,1753,10.73,2.27
NM_019084,4126,4.44,2.27
NM_001547,3058,7.41,2.27
NM_005204,3096,5.76,2.27
NM_022829,4066,1.02,2.27
NM_033089,2773,7.27,2.27
NM_005194,1837,24.21,2.27
NM_023929,4146,1.88,2.27
NM_020317,1482,11.45,2.27
NM_015872,2128,38.23,2.27
NM_178549,2583,6.31,2.27
NM_001039888,3608,4.3,2.27
NM_021205,4369,2.76,2.27
NM_020714,6372,1.42,2.27
NM_006145,2233,102.22,2.27
NM_021632,2358,2.29,2.27
NM_016535,1258,11.96,2.27
NM_003417,12171,1.98,2.27
NM_153358,2476,4.4,2.27
NM_152909,3396,4.65,2.27
NM_001023563,8883,1.48,2.27
NM_032430,3109,2.82,2.27
NM_058188,1071,1.43,2.27
NM_001005732,923,113.77,2.27
NM_015642,2976,25.68,2.27
NM_015429,4533,1.02,2.27
NM_173084,3886,3.87,2.27
NM_005832,2543,5.61,2.27
NM_175888,2102,1.42,2.27
NM_012266,2462,5.68,2.27
NM_001240,2568,29.27,2.27
NM_152441,2164,14.71,2.27
NM_153377,4053,13.26,2.27
NM_001002259,4501,2.4,2.27
NM_003440,3067,3.39,2.27
NM_018009,1739,1.49,2.27
NM_031937,1973,4.78,2.27
NM_016272,4575,15.52,2.27
NM_032145,4420,16.68,2.27
NM_145909,3179,4.91,2.27
NM_018561,3194,3.41,2.27
NM_024018,1761,5.42,2.27
NM_152736,3062,3.68,2.27
NM_001040057,2468,6.56,2.27
NM_015483,3622,8.18,2.27
NM_013332,1372,7.52,2.27
NM_021163,6551,3.15,2.27
NM_173680,2246,1.84,2.27
NM_020156,1794,3.49,2.27
NM_022073,2765,10.47,2.27
NM_005132,2354,2.45,2.27
NM_014734,5402,6.3,2.27
NM_004251,1097,49.61,2.27
NM_017763,5585,4.18,2.27
NM_016632,826,2.44,2.27
NM_000413,2230,7.57,2.27
NM_003455,4055,7.09,2.27
NM_198947,3490,3.09,2.27
NM_139055,2853,3.34,2.27
NM_182553,1399,1.92,2.27
NM_145014,1812,7.66,2.27
NM_001124,1449,14.18,2.27
NM_014106,5418,5.77,2.27
NM_006465,4214,2.9,2.27
NM_199163,2579,2.43,2.27
NM_006095,3794,2.82,2.27
NM_016531,2873,12.76,2.27
NM_017632,2392,8.55,2.27
NM_020961,2138,8.7,2.27
NM_152622,5220,6.02,2.3
NM_173491,2563,6.89,2.3
NM_001013717,2025,2.71,2.3
NM_015946,2941,24.05,2.3
NM_020905,1538,3.38,2.3
NM_001005746,3185,1.66,2.3
NM_001008215,1698,4.88,2.3
NM_003597,4051,10.81,2.3
NM_033132,2421,14.51,2.3
NM_002312,4115,3.28,2.3
NM_003891,1485,2.33,2.3
NM_153023,3503,12.72,2.3
NM_018017,6277,1.41,2.3
NM_152644,788,13.22,2.3
NM_004419,2545,2.8,2.3
NM_016649,3216,5.22,2.3
NM_024325,3632,5.87,2.3
NM_017786,3436,11.03,2.3
NM_032862,2264,10.31,2.3
NM_002167,1203,128.12,2.3
NM_145257,5174,6.06,2.3
NM_000963,4465,2.61,2.3
NM_003921,2809,5.25,2.3
NM_152608,3934,17.09,2.3
NM_153812,3684,8.82,2.3
NM_032890,4743,14.18,2.3
NM_005091,690,1.39,2.3
NM_014898,4612,1.06,2.3
NM_203374,2006,2.49,2.3
NM_024106,2320,6.73,2.3
NM_032497,3059,1.95,2.3
NM_032828,6845,3.24,2.3
NM_018316,3122,11.9,2.3
NM_014910,7605,9.72,2.3
NM_025194,3398,4.08,2.3
NM_173548,2293,18.6,2.3
NM_025061,3625,7.98,2.3
NM_175871,1661,2.26,2.3
NM_001044388,6002,2.95,2.3
NM_006965,2513,14.05,2.3
NM_005904,3103,7.86,2.3
NM_014913,5403,18.56,2.3
NM_198996,1636,1.41,2.3
NM_178496,3381,8.99,2.3
NM_020353,3206,1.17,2.3
NM_001025468,362,2.65,2.3
NM_031913,2896,3.49,2.3
NM_153331,1823,3.12,2.3
NM_033029,2414,1.23,2.3
NM_014779,3901,10.34,2.3
NM_017680,2480,1.39,2.3
NM_194252,2023,5.2,2.3
NM_197956,3198,6.3,2.3
NM_001007101,2969,3.05,2.3
NM_014930,5154,3.06,2.3
NM_005447,1796,1.07,2.3
NM_007076,1651,1.75,2.3
NM_002430,7569,6.31,2.3
NM_020133,7889,2.36,2.3
NM_030784,1892,4.23,2.3
NM_006653,2200,2.4,2.3
NM_001076781,1596,1.87,2.3
NM_182529,1680,2.29,2.3
NM_024910,3520,10.85,2.3
NM_000845,3321,1.68,2.3
NM_001040167,2384,9.95,2.3
NM_001024858,10064,1.1,2.3
NM_014950,3990,5.05,2.3
NM_153029,7121,6.16,2.3
NM_003745,1216,1.98,2.3
NM_152288,2239,1.67,2.3
NM_003498,3307,4.08,2.3
NM_182980,2400,5.3,2.3
NM_020465,3288,4.25,2.3
NM_001039891,2689,1.29,2.3
NM_017669,4342,7.35,2.3
NM_001039840,4158,3.01,2.3
NM_002063,3214,2.55,2.3
NM_018182,3434,8.79,2.3
NM_020772,4999,24.65,2.3
NM_018149,3290,16.72,2.3
NM_024857,6245,2.5,2.3
NM_144608,1330,8.55,2.3
NM_024680,3736,5.88,2.3
NM_021117,4146,11.12,2.3
NM_004268,3412,14.99,2.3
NM_024741,2441,12.01,2.3
NM_152449,2929,1.34,2.3
NM_181900,1344,1.07,2.3
NM_001004309,1790,1.83,2.3
NM_001812,3349,3.74,2.3
NM_017676,1745,3.65,2.33
NM_173360,1644,2.17,2.33
NM_022090,2808,1.3,2.33
NM_133372,6584,8.1,2.33
NM_145265,1437,32.3,2.33
NM_178019,1338,4.61,2.33
NM_018086,4535,5.08,2.33
NM_017880,2540,4.82,2.33
NM_018410,3065,47.54,2.33
NM_001485,1335,1.65,2.33
NM_174898,1015,1.8,2.33
NM_016260,2490,2.9,2.33
NM_198482,909,1.48,2.33
NM_005911,2835,95.66,2.33
NM_138624,3547,20,2.33
NM_005253,4015,26,2.33
NM_058241,4614,5.31,2.33
NM_019002,3298,1.87,2.33
NM_182626,1902,9.18,2.33
NM_001616,5244,1.96,2.33
NM_024705,1970,1.61,2.33
NM_001730,3350,35.92,2.33
NM_015655,3264,4.93,2.33
NM_032107,3198,2.59,2.33
NM_022106,3825,17.76,2.33
NM_001200,3150,3.95,2.33
NM_001033521,2323,56.21,2.33
NM_031439,3219,4.34,2.33
NM_032687,1255,3.3,2.33
NM_003068,2101,5.92,2.33
NM_173344,2911,34.14,2.33
NM_171982,4227,16.48,2.33
NM_017956,2061,5.66,2.33
NM_053274,2042,9.45,2.33
NM_014851,4502,31.04,2.33
NM_201269,5648,11.89,2.33
NM_022768,3450,49.35,2.33
NM_178548,2201,3.06,2.33
NM_201253,4950,2.18,2.33
NM_025058,3142,3.37,2.33
NM_020978,2215,2.22,2.33
NM_145238,4022,5.01,2.33
NM_033343,1913,4.33,2.33
NM_017734,2581,2.87,2.33
NM_018704,4318,21.36,2.33
NM_057091,1892,19.43,2.33
NM_198471,2778,1.31,2.33
NM_001012756,5407,1.24,2.33
NM_001010880,1824,1,2.33
NM_025189,2649,3.05,2.33
NM_014347,3000,15.21,2.33
NM_003435,3547,3.99,2.33
NM_022751,3055,3.03,2.33
NM_021127,1885,7.88,2.33
NM_014415,5052,13.84,2.33
NM_032487,2002,2.74,2.33
NM_005067,2632,26.43,2.33
NM_001706,3630,5.47,2.33
NM_182909,4211,15.6,2.33
NM_000882,1444,2.13,2.33
NM_017719,5118,4.75,2.33
NM_001001662,3313,2.21,2.33
NM_020924,1935,1.89,2.33
NM_001001551,1630,2.54,2.33
NM_001006643,3433,29.65,2.33
NM_153710,2779,1.49,2.33
NM_032293,3362,5.42,2.33
NM_004473,3473,3.19,2.33
NM_030809,4469,13.28,2.33
NM_021808,1741,1.26,2.33
NM_013267,2636,1.35,2.33
NM_002075,1923,6.67,2.33
NM_014319,4785,8.69,2.33
NM_005967,2725,16.85,2.33
NM_003583,3615,12.04,2.33
NM_032829,2731,4.3,2.33
NM_207477,2270,43.19,2.33
NM_003322,2090,1.93,2.33
NM_152554,2433,1.46,2.33
NM_006298,5362,5.41,2.33
NM_176814,4242,2.61,2.33
NM_002612,3710,2.05,2.33
NM_001042762,3544,13.91,2.33
NM_001012454,1199,2.97,2.33
NM_203397,1518,2.66,2.33
NM_178441,4405,3.59,2.33
NM_024496,4166,8.73,2.33
NM_003082,2594,5.61,2.33
NM_017943,3423,20.55,2.33
NM_052874,1709,1.01,2.33
NM_153028,2072,5.77,2.33
NM_017413,3125,1.66,2.33
NM_006978,1349,14.23,2.33
NM_006223,1088,2.92,2.33
NM_007215,1595,12.88,2.33
NM_001001870,1385,13.3,2.33
NM_152347,3944,1.78,2.33
NM_022725,3309,1.83,2.33
NM_014488,1619,38.74,2.33
NM_145803,2608,8.17,2.33
NM_007105,1342,1.64,2.33
NM_173039,1561,4.57,2.33
NM_021647,1961,2.31,2.33
NM_016955,3378,1.37,2.33
NM_002198,2035,10.28,2.35
NM_024565,3274,14.29,2.35
NM_198566,2441,6.75,2.35
NM_174889,650,43.06,2.35
NM_145867,680,1.26,2.35
NM_144631,2148,4.62,2.35
NM_173172,3447,5.01,2.35
NM_005667,3493,4.08,2.35
NM_032604,1458,2.31,2.35
NM_023016,4681,17.54,2.35
NM_020121,4848,12.56,2.35
NM_178006,5886,4.06,2.35
NM_018011,4024,14.31,2.35
NM_198219,2897,12.85,2.35
NM_138316,3367,11.52,2.35
NM_030759,1866,6.92,2.35
NM_006963,2630,5.9,2.35
NM_000773,1667,1.73,2.35
NM_006829,672,3.86,2.35
NM_014948,4346,12.83,2.35
NM_021061,2166,6.19,2.35
NM_005098,1939,1.93,2.35
