seqnames,start,end,width,strand,count,name,exon,intron,utr5,utr5.,utr3,utr3.,intergenic,mirna,annot,target_gene,hvak.hva.padj,hvak.hva.log2FC,seed.8mer,seed.7m8,seed.7A1,seed.6mer,target_Ensembl_ID,target_Uniprot_ID,target_Entrez_ID
chr9,21642550,21642598,49,+,3017,peak7242,Smarca4,Smarca4,NA,NA,NA,NA,FALSE,NA,exon,Smarca4,0.1225212741397045,-1.01460139227373,NA,miR-182-5p,NA,miR-96-5p,ENSMUSG00000032187,Q3TKT4,20586
chr9,65324253,65324306,54,+,6819,peak7324,Clpx,Clpx,NA,NA,NA,NA,FALSE,NA,exon,Clpx,0.4822477166268452,0.525199796209796,NA,miR-200ab-5p,NA,NA,ENSMUSG00000015357,Q9JHS4,270166
chrM,5487,5514,28,+,9545,peak7623,mt-Co1,NA,NA,NA,NA,NA,FALSE,NA,exon,mt-Co1,NA,NA,NA,NA,NA,miR-34-5p/449-5p,ENSMUSG00000064351,P00397,NA
chrM,15148,15170,23,+,3940,peak7627,mt-Cytb,NA,NA,NA,NA,NA,FALSE,NA,exon,mt-Cytb,NA,NA,NA,NA,miR-328-3p,NA,ENSMUSG00000064370,P00158,NA
chr1,4836995,4837044,50,+,4536,peak7896,Lypla1,Lypla1,NA,NA,RP24-426M1.3,NA,FALSE,NA,utr3,RP24-426M1.3,0.9194162323389801,0.06854951249037189,NA,NA,NA,NA,ENSMUSG00000104217,"NA",NA
chr1,4889647,4889702,56,+,7605,peak7912,NA,Tcea1,NA,NA,NA,NA,FALSE,NA,intron,Tcea1,0.3738072454366988,0.6881464537068811,NA,NA,NA,"miR-141-3p, miR-340-5p, miR-361-5p",ENSMUSG00000033813,P10711,21399
chr1,7170316,7170372,57,+,11491,peak7948,Pcmtd1,NA,NA,NA,Pcmtd1,Pcmtd1,FALSE,NA,utr3,Pcmtd1,0.6670705621119668,0.2767454944827363,"miR-183-3p, miR-25-3p/32-5p/92-3p/363-3p/367-3p",NA,miR-16-1-3p,NA,ENSMUSG00000051285,P59913,319263
chr1,9879023,9879075,53,+,8627,peak7961,Sgk3,Sgk3,NA,NA,Sgk3,Sgk3,FALSE,NA,utr3,Sgk3,0.45916025797582694,0.60983076988963425,let-7-5p/miR-98-5p,NA,NA,miR-196-5p,ENSMUSG00000025915,Q9ERE3,170755
chr1,10135997,10136063,67,+,6608,peak7968,Cspp1,NA,NA,NA,NA,Cspp1,FALSE,NA,utr3*,Cspp1,0.14976931229757817,1.0501999619813265,NA,miR-24-3p,NA,miR-30a-3p/30d-3p/30e-3p,ENSMUSG00000056763,B2RX88,211660
chr1,12805189,12805248,60,+,56777,peak7979,Sulf1,NA,NA,NA,NA,NA,FALSE,NA,exon,Sulf1,0.3398345141397211,0.9609610560863815,miR-22-3p,NA,let-7-5p/miR-98-5p,NA,ENSMUSG00000016918,Q8K007,240725
chr1,16129192,16129290,99,+,7460,peak8003,Rdh10,Rdh10,NA,NA,NA,NA,FALSE,NA,exon,Rdh10,0.45281126442712805,0.4437619687329979,miR-24-3p,miR-501-5p,"miR-193-3p, miR-30a-3p/30d-3p/30e-3p","miR-135ab-5p, miR-362-5p, miR-15-5p/16-5p/195-5p/322-5p/497-5p",ENSMUSG00000025921,Q8VCH7,98711
chr1,16131554,16131614,61,+,6521,peak8009,Rdh10,NA,NA,NA,Rdh10,NA,FALSE,NA,utr3,Rdh10,0.9520642744116165,0.032110998000629956,NA,"miR-182-5p, miR-27-3p",NA,miR-96-5p,ENSMUSG00000025921,Q8VCH7,98711
chr1,16132310,16132399,90,+,8054,peak8014,Rdh10,NA,NA,NA,Rdh10,NA,FALSE,NA,utr3,Rdh10,0.8603826237378374,0.12021266700597534,NA,let-7-5p/miR-98-5p,NA,miR-196-5p,ENSMUSG00000025921,Q8VCH7,98711
chr1,16132422,16132467,46,+,3614,peak8015,Rdh10,NA,NA,NA,Rdh10,NA,FALSE,NA,utr3,Rdh10,0.790087376989176,0.18755552080595098,NA,NA,NA,NA,ENSMUSG00000025921,Q8VCH7,98711
chr1,16133205,16133278,74,+,5560,peak8022,Rdh10,NA,NA,NA,Rdh10,NA,FALSE,NA,utr3,Rdh10,0.18218614049106,0.9169849294851888,NA,"miR-194-2-3p/6926-5p/7055-5p, miR-194-2-3p/6926-5p/7055-5p, miR-194-5p, miR-34-5p/449-5p, miR-34-5p/449-5p",NA,NA,ENSMUSG00000025921,Q8VCH7,98711
chr1,33739846,33739903,58,+,8503,peak8061,Rab23,NA,NA,NA,Rab23,Rab23,FALSE,NA,utr3,Rab23,0.08991765426078402,1.07702854119156,miR-25-3p/32-5p/92-3p/363-3p/367-3p,NA,NA,NA,ENSMUSG00000004768,P35288,19335
chr1,34087461,34087518,58,+,1782,peak8065,NA,Dst,NA,NA,NA,NA,FALSE,NA,intron,Dst,0.03899885356922864,-2.4829085158025324,NA,NA,NA,NA,ENSMUSG00000026131 ENSMUSG00000042046 ENSMUSG00000015932,Q91ZU6 Q6XUX1 Q9R0P5,13518 213452 56431
chr1,34255600,34255655,56,+,11062,peak8079,NA,Dst,NA,NA,NA,NA,FALSE,NA,intron,Dst,0.5644157190428102,0.45244782362815744,miR-200-3p/429-3p,NA,NA,NA,ENSMUSG00000026131 ENSMUSG00000042046 ENSMUSG00000015932,Q91ZU6 Q6XUX1 Q9R0P5,13518 213452 56431
chr1,34307561,34307611,51,+,4212,peak8086,Dst,NA,NA,NA,Dst,NA,FALSE,NA,utr3,Dst,0.07026607895321499,1.371309128276645,NA,miR-25-3p/32-5p/92-3p/363-3p/367-3p,NA,NA,ENSMUSG00000026131 ENSMUSG00000042046 ENSMUSG00000015932,Q91ZU6 Q6XUX1 Q9R0P5,13518 213452 56431
chr1,34443439,34443487,49,+,17088,peak8087,Imp4,NA,NA,NA,Imp4,Imp4,FALSE,NA,utr3,Imp4,0.087761291450271,1.1830309203773943,NA,"miR-196-5p, let-7-5p/miR-98-5p, miR-146ab-5p",miR-30a-3p/30d-3p/30e-3p,NA,ENSMUSG00000026127,Q8VHZ7,27993
chr1,34446828,34446879,52,+,6815,peak8093,Imp4,NA,NA,NA,Imp4,NA,FALSE,NA,utr3,Imp4,0.2692226005421101,0.6859678358351317,miR-194-2-3p/6926-5p/7055-5p,miR-17-5p/20-5p/93-5p/106-5p,NA,"miR-130-3p/301-3p, miR-7-5p, miR-196-5p",ENSMUSG00000026127,Q8VHZ7,27993
chr1,34877149,34877195,47,+,6969,peak8113,Plekhb2,NA,NA,NA,Plekhb2,NA,FALSE,NA,utr3,Plekhb2,0.35969050775822753,0.552061563525355,NA,NA,NA,"miR-205-5p, miR-186-5p",ENSMUSG00000026123,Q9QZC7,226971
chr1,34877859,34877913,55,+,9072,peak8120,Plekhb2,Plekhb2,NA,NA,Plekhb2,NA,FALSE,NA,utr3,Plekhb2,0.1193576172109901,1.2585271388193473,NA,miR-181-5p,NA,NA,ENSMUSG00000026123,Q9QZC7,226971
chr1,34879295,34879352,58,+,8995,peak8132,Plekhb2,Plekhb2,NA,NA,Plekhb2,NA,FALSE,NA,utr3,Plekhb2,0.09212434083322382,1.2298676895159104,NA,miR-192-5p/215-5p,miR-221-3p/222-3p,NA,ENSMUSG00000026123,Q9QZC7,226971
chr1,36104140,36104194,55,+,4630,peak8145,Hs6st1,NA,NA,NA,NA,NA,FALSE,NA,exon,Hs6st1,0.06047135743389282,1.348992181710253,NA,NA,NA,NA,ENSMUSG00000045216,Q9QYK5,50785
chr1,36105692,36105770,79,+,9008,peak8156,Hs6st1,NA,NA,NA,Hs6st1,NA,FALSE,NA,utr3,Hs6st1,0.40973183582669864,0.5482469228899185,NA,"miR-15-5p/16-5p/195-5p/322-5p/497-5p, miR-15-5p/16-5p/195-5p/322-5p/497-5p",NA,"miR-103-3p/107-3p, miR-103-3p/107-3p, miR-192-5p/215-5p",ENSMUSG00000045216,Q9QYK5,50785
chr1,36472234,36472297,64,+,8176,peak8167,Cnnm4,NA,NA,NA,NA,NA,FALSE,NA,exon,Cnnm4,0.26441812920071756,0.7589183683881258,NA,"miR-21-3p, miR-29-3p, miR-29-3p",NA,NA,ENSMUSG00000037408,Q69ZF7,94220
chr1,36472516,36472574,59,+,6512,peak8170,Cnnm4,NA,NA,NA,NA,NA,FALSE,NA,exon,Cnnm4,0.16661326380302216,1.0122706687647978,NA,NA,let-7-5p/miR-98-5p,miR-425-5p/489-3p,ENSMUSG00000037408,Q69ZF7,94220
chr1,36472665,36472724,60,+,27366,peak8171,Cnnm4,NA,NA,NA,NA,NA,FALSE,NA,exon,Cnnm4,0.15334133341152434,0.8357134297354724,miR-30-5p/384-5p,miR-192-5p/215-5p,NA,"miR-205-5p, miR-148-3p/152-3p, miR-132-3p/212-3p",ENSMUSG00000037408,Q69ZF7,94220
chr1,36692451,36692506,56,+,51639,peak8210,Cox5b,Cox5b,NA,NA,NA,NA,FALSE,NA,exon,Cox5b,0.41744540580489975,0.5922472748569069,NA,"miR-22-3p, let-7-5p/miR-98-5p",NA,miR-196-5p,ENSMUSG00000061518,P19536,12859
chr1,37438732,37438782,51,+,8643,peak8220,Unc50,NA,NA,NA,NA,NA,FALSE,NA,exon,Unc50,0.11072937947492367,1.1754744852696815,NA,miR-29-3p,NA,miR-148-3p/152-3p,ENSMUSG00000026111,Q9CQ61,67387
chr1,38045315,38045363,49,+,9194,peak8252,Eif5b,Eif5b,NA,NA,NA,NA,FALSE,NA,exon,Eif5b,0.03749642670402965,1.6585240039673477,NA,"miR-103-3p/107-3p, miR-15-5p/16-5p/195-5p/322-5p/497-5p",NA,NA,ENSMUSG00000026083,Q05D44,226982
chr1,39980608,39980656,49,+,6012,peak8300,Map4k4,Map4k4,NA,NA,NA,NA,FALSE,NA,exon,Map4k4,0.1156219394593413,1.3366690901324718,NA,miR-15-5p/16-5p/195-5p/322-5p/497-5p,NA,miR-103-3p/107-3p,ENSMUSG00000026074,P97820,26921
chr1,40006668,40006722,55,+,6336,peak8309,Map4k4,Map4k4,NA,NA,NA,NA,FALSE,NA,exon,Map4k4,0.3709678907162242,0.5300522257986899,NA,miR-200-3p/429-3p,NA,"miR-24-3p, miR-186-5p",ENSMUSG00000026074,P97820,26921
chr1,43450103,43450152,50,+,7087,peak8371,NA,Nck2,NA,NA,NA,NA,FALSE,NA,intron,Nck2,0.05404082501562428,1.9635982521536814,NA,miR-29-3p,NA,miR-185-5p,ENSMUSG00000066877,O55033,17974
chr1,43968980,43969030,51,+,5840,peak8404,Tpp2,NA,NA,NA,NA,NA,FALSE,NA,exon,Tpp2,0.12853880389038372,1.0834650240934403,NA,miR-7-5p,NA,NA,ENSMUSG00000041763,Q64514,22019
chr1,43971636,43971690,55,+,44399,peak8410,Tpp2,NA,NA,NA,NA,NA,FALSE,NA,exon,Tpp2,0.04217368058842735,1.2555018628623098,NA,let-7-5p/miR-98-5p,NA,"miR-378-3p, miR-196-5p, miR-15-5p/16-5p/195-5p/322-5p/497-5p, miR-28-5p/708-5p",ENSMUSG00000041763,Q64514,22019
chr1,45347765,45347815,51,+,6475,peak8486,Col3a1,NA,NA,NA,NA,NA,FALSE,NA,exon,Col3a1,0.2671135532259697,0.8382091534747557,NA,miR-193-3p,NA,NA,ENSMUSG00000026043,P08121,12825
chr1,45348959,45349009,51,+,7145,peak8490,Col3a1,NA,NA,NA,Col3a1,NA,FALSE,NA,utr3,Col3a1,0.4074989229510065,1.0874339370540191,miR-29-3p,NA,NA,NA,ENSMUSG00000026043,P08121,12825
chr1,45349144,45349198,55,+,10529,peak8491,Col3a1,NA,NA,NA,Col3a1,NA,FALSE,NA,utr3,Col3a1,0.49902886531117147,0.6025808001626706,let-7-5p/miR-98-5p,miR-196-5p,NA,NA,ENSMUSG00000026043,P08121,12825
chr1,57946684,57946744,61,+,9310,peak8603,Spats2l,NA,NA,NA,Spats2l,NA,FALSE,NA,utr3,Spats2l,0.22642035650119688,0.8625724314982298,NA,miR-200-3p/429-3p,miR-193-3p,NA,ENSMUSG00000038305,Q91WJ7,67198
chr1,58405313,58405371,59,+,10542,peak8620,Bzw1,NA,NA,NA,Bzw1,Bzw1,FALSE,NA,utr3,Bzw1,0.7064473690728137,0.3087575881497406,NA,"miR-23-3p, let-7-5p/miR-98-5p",NA,"miR-199-3p, miR-196-5p",ENSMUSG00000051223,Q9CQC6,66882
chr1,58465617,58465666,50,+,6933,peak8630,NA,Nif3l1,NA,NA,NA,NA,FALSE,NA,intron,Nif3l1,0.7870451678650915,0.18131206207856815,miR-17-5p/20-5p/93-5p/106-5p,NA,NA,"miR-130-3p/301-3p, miR-153-3p",ENSMUSG00000026036,Q9EQ80,65102
chr1,58756123,58756195,73,+,32406,peak8649,Cflar,NA,NA,NA,Cflar,Cflar,FALSE,NA,utr3,Cflar,0.2801439807692928,0.907224000225143,miR-29-3p,NA,miR-194-2-3p/6926-5p/7055-5p,NA,ENSMUSG00000026031,O35732,12633
chr1,58756715,58756776,62,+,10109,peak8652,Cflar,NA,NA,NA,Cflar,Cflar,FALSE,NA,utr3,Cflar,0.5717595978303877,0.3764854174206962,NA,NA,NA,NA,ENSMUSG00000026031,O35732,12633
chr1,58798082,58798151,70,+,5753,peak8663,RP24-273P12.4,Casp8,NA,NA,NA,NA,FALSE,NA,exon,RP24-273P12.4 Casp8,0.04340003454008328,1.8543472343153957,NA,NA,NA,NA,NA,O89110,NA
chr1,58823913,58824000,88,+,8285,peak8680,Casp8,Casp8,Casp8,Casp8,NA,NA,FALSE,NA,utr5,Casp8,0.15268645915894727,0.9458491919800469,miR-324-3p,let-7-5p/miR-98-5p,NA,"miR-18-3p/7069-3p, miR-196-5p",ENSMUSG00000026029,O89110,12370
chr1,58824488,58824540,53,+,11734,peak8683,NA,Casp8,NA,NA,NA,NA,FALSE,NA,intron,Casp8,0.12800521987154634,1.2701239042529522,NA,miR-21-3p,NA,NA,ENSMUSG00000026029,O89110,12370
chr1,58833726,58833778,53,+,168210,peak8696,Casp8,Casp8,NA,NA,NA,NA,FALSE,NA,exon,Casp8,0.07615503854279108,1.3399970870213114,miR-205-5p,miR-27-3p,NA,NA,ENSMUSG00000026029,O89110,12370
chr1,58994446,58994505,60,+,15391,peak8708,Stradb,NA,NA,NA,Stradb,Stradb,FALSE,NA,utr3,Stradb,0.18532412773481852,0.7553182161137352,NA,"miR-26-5p, miR-15-5p/16-5p/195-5p/322-5p/497-5p",NA,"miR-103-3p/107-3p, miR-185-5p",ENSMUSG00000026027,Q8K4T3,227154
chr1,59704788,59704837,50,+,120002,peak8722,Snord11,Nop58,NA,NA,NA,Nop58,FALSE,NA,utr3*,Nop58,0.06702857495646258,1.2989572022768678,NA,miR-146ab-5p,NA,NA,ENSMUSG00000026020,Q6DFW4,55989
chr1,59985225,59985284,60,+,11857,peak8802,Fam117b,NA,NA,NA,Fam117b,NA,FALSE,NA,utr3,Fam117b,0.1514108774475241,1.1343632268120576,NA,NA,NA,miR-200-3p/429-3p,ENSMUSG00000041040,Q3U3E2,72750
chr1,62638140,62638196,57,+,7002,peak8873,Pard3b,NA,NA,NA,Pard3b,NA,FALSE,NA,utr3,Pard3b,0.10652600541024666,1.0406954999222673,miR-26-5p,NA,NA,miR-361-5p,ENSMUSG00000052062,Q9CSB4,72823
chr1,62638614,62638676,63,+,12453,peak8875,Pard3b,NA,NA,NA,Pard3b,NA,FALSE,NA,utr3,Pard3b,0.1216556908772142,0.9320485296609575,miR-200-3p/429-3p,NA,miR-671-5p,"miR-33-5p, miR-23-3p, miR-15-5p/16-5p/195-5p/322-5p/497-5p",ENSMUSG00000052062,Q9CSB4,72823
chr1,62815784,62815839,56,+,4825,peak8895,Nrp2,NA,NA,NA,Nrp2,NA,FALSE,NA,utr3,Nrp2,0.032585513597865816,1.819258040333913,NA,"miR-193-3p, miR-151-3p",miR-27-3p,"miR-205-5p, miR-22-3p",ENSMUSG00000025969,O35375,18187
chr1,63177768,63177824,57,+,24748,peak8905,Eef1b2,Eef1b2,NA,NA,Eef1b2,NA,FALSE,NA,utr3,Eef1b2,0.8895634837735305,0.09853002359075316,NA,miR-200-3p/429-3p,NA,NA,ENSMUSG00000025967,O70251,55949
chr1,63751327,63751379,53,+,26079,peak8913,Fastkd2,Fastkd2,NA,NA,NA,NA,FALSE,NA,exon,Fastkd2,0.21678064919068057,0.7738774941801929,"miR-181-5p, miR-671-5p",NA,NA,miR-23-3p,ENSMUSG00000025962,Q922E6,75619
chr1,64601620,64601671,52,+,6179,peak8933,Creb1,NA,NA,NA,Creb1,Creb1,FALSE,NA,utr3,Creb1,0.13211505894290204,0.9633477208127986,NA,NA,NA,miR-205-5p,ENSMUSG00000025958,Q01147,12912
chr1,65276421,65276479,59,+,7147,peak8946,Pikfyve,NA,NA,NA,Pikfyve,NA,FALSE,NA,utr3,Pikfyve,0.47209148892388564,0.38003156520592934,NA,"miR-25-3p/32-5p/92-3p/363-3p/367-3p, miR-200-3p/429-3p",NA,NA,ENSMUSG00000025949,Q9Z1T6,18711
chr1,74248131,74248179,49,+,42614,peak8996,Arpc2,Arpc2,NA,NA,NA,NA,FALSE,NA,exon,Arpc2,0.030723793046731587,1.6190307171305955,NA,NA,NA,NA,ENSMUSG00000006304,Q9CVB6,76709
chr1,74251248,74251295,48,+,15454,peak9002,Arpc2,Arpc2,NA,NA,NA,NA,FALSE,NA,exon,Arpc2,0.11925330546498764,0.9646887032320669,NA,NA,NA,NA,ENSMUSG00000006304,Q9CVB6,76709
chr1,74254838,74254891,54,+,40276,peak9004,Arpc2,NA,NA,NA,NA,NA,FALSE,NA,exon,Arpc2,0.3586236031952958,0.6923001283334254,NA,miR-362-5p,NA,"miR-501-5p, miR-196-5p, miR-186-5p",ENSMUSG00000006304,Q9CVB6,76709
chr1,74263790,74263844,55,+,8698,peak9011,Arpc2,Arpc2,NA,NA,NA,NA,FALSE,NA,exon,Arpc2,0.12837231981874464,1.1881274615893713,NA,NA,miR-130-3p/301-3p,NA,ENSMUSG00000006304,Q9CVB6,76709
chr1,74395845,74395906,62,+,7796,peak9027,Ctdsp1,NA,NA,NA,Ctdsp1,NA,FALSE,NA,utr3,Ctdsp1,0.3277884968484275,0.575884274662816,miR-182-5p,NA,miR-96-5p,NA,ENSMUSG00000026176,P58466,227292
chr1,74415970,74416041,72,+,10939,peak9039,Vil1,Vil1,NA,NA,NA,NA,FALSE,NA,exon,Vil1,0.032585513597865816,1.477575687766856,NA,"miR-18-5p, miR-181a-1-3p/181c-3p",NA,NA,ENSMUSG00000026175,Q62468,22349
chr1,74418443,74418500,58,+,90855,peak9041,Vil1,NA,NA,NA,NA,NA,FALSE,NA,exon,Vil1,0.04609246527354059,1.2055819442203972,NA,miR-196-5p,NA,"miR-205-5p, miR-378-3p, miR-183-5p",ENSMUSG00000026175,Q62468,22349
chr1,74421778,74421835,58,+,66336,peak9052,Vil1,Vil1,NA,NA,NA,NA,FALSE,NA,exon,Vil1,0.2079291654346465,0.9469917703721518,"miR-194-5p, miR-132-3p/212-3p",NA,NA,miR-141-5p/6769b-3p,ENSMUSG00000026175,Q62468,22349
chr1,74422931,74422993,63,+,15025,peak9053,Vil1,NA,NA,NA,NA,NA,FALSE,NA,exon,Vil1,0.2597800333474062,0.874448289562169,miR-423-3p,NA,NA,NA,ENSMUSG00000026175,Q62468,22349
chr1,74423929,74423982,54,+,7549,peak9058,Vil1,NA,NA,NA,NA,NA,FALSE,NA,exon,Vil1,0.18727825061281758,0.736486060360627,let-7-5p/miR-98-5p,miR-15-5p/16-5p/195-5p/322-5p/497-5p,NA,"miR-103-3p/107-3p, miR-196-5p, miR-196-5p",ENSMUSG00000026175,Q62468,22349
chr1,74428116,74428173,58,+,283553,peak9068,Vil1,NA,NA,NA,NA,NA,FALSE,NA,exon,Vil1,0.08927388024286612,1.039484935144507,NA,NA,let-7-5p/miR-98-5p,NA,ENSMUSG00000026175,Q62468,22349
chr1,74687722,74687785,64,+,10893,peak9101,Ttll4,Ttll4,NA,NA,NA,NA,FALSE,NA,exon,Ttll4,0.4422817439268801,0.5677785575512014,let-7-5p/miR-98-5p,miR-30-5p/384-5p,NA,miR-196-5p,ENSMUSG00000033257,Q80UG8,67534
chr1,74697718,74697775,58,+,31740,peak9110,Ttll4,NA,NA,NA,Ttll4,NA,FALSE,NA,utr3,Ttll4,0.1970242286976411,0.870077552998174,let-7-5p/miR-98-5p,miR-24-3p,miR-484,"miR-484, miR-196-5p",ENSMUSG00000033257,Q80UG8,67534
chr1,74697823,74697888,66,+,37147,peak9111,Ttll4,NA,NA,NA,Ttll4,NA,FALSE,NA,utr3,Ttll4,0.12825431707764515,1.2316297529936058,NA,NA,NA,miR-181a-1-3p/181c-3p,ENSMUSG00000033257,Q80UG8,67534
chr1,75146517,75146571,55,+,13503,peak9128,Fam134a,NA,NA,NA,Fam134a,Fam134a,FALSE,NA,utr3,Fam134a,0.13961440613287185,1.1174350640832094,NA,NA,NA,miR-106-3p,ENSMUSG00000049339,Q6NS82,NA
chr1,78321924,78321975,52,+,12192,peak9164,NA,Sgpp2,NA,NA,NA,NA,FALSE,NA,intron,Sgpp2,0.1896947537183693,0.9468226414193187,miR-23-3p,NA,NA,NA,ENSMUSG00000032908,Q810K3,433323
chr1,78327285,78327339,55,+,16251,peak9168,NA,Sgpp2,NA,NA,NA,NA,FALSE,NA,intron,Sgpp2,0.26827179030678544,0.8805007359625551,miR-19-3p,NA,NA,"miR-17-5p/20-5p/93-5p/106-5p, miR-27-3p",ENSMUSG00000032908,Q810K3,433323
chr1,78667651,78667707,57,+,16038,peak9218,Utp14b,Acsl3,NA,NA,Utp14b,Utp14b,FALSE,NA,utr3,Utp14b,0.3410352180168997,0.5355188536011058,miR-34-5p/449-5p,NA,NA,NA,ENSMUSG00000079470,Q6EJB6,195434
chr1,78675199,78675258,60,+,4824,peak9232,NA,Acsl3,NA,NA,NA,NA,FALSE,NA,intron,Acsl3,0.05726513620231456,1.609607336770488,NA,miR-21-3p,NA,miR-26-5p,ENSMUSG00000032883,Q9CZW4,74205
chr1,78701416,78701466,51,+,10137,peak9249,Acsl3,Acsl3,NA,NA,NA,NA,FALSE,NA,exon,Acsl3,0.09675335145412861,1.2189625842240457,miR-16-2-3p,NA,NA,miR-141-5p/6769b-3p,ENSMUSG00000032883,Q9CZW4,74205
chr1,78706428,78706483,56,+,163910,peak9253,Acsl3,NA,NA,NA,Acsl3,NA,FALSE,NA,utr3,Acsl3,0.5033482812310766,0.41988402099478267,miR-26-5p,NA,NA,NA,ENSMUSG00000032883,Q9CZW4,74205
chr1,78706574,78706641,68,+,10458,peak9254,Acsl3,NA,NA,NA,Acsl3,NA,FALSE,NA,utr3,Acsl3,0.27514900631185907,0.741497343591659,NA,NA,NA,miR-27-3p,ENSMUSG00000032883,Q9CZW4,74205
chr1,79776116,79776186,71,+,35828,peak9257,Mrpl44,NA,Mrpl44,NA,NA,NA,FALSE,NA,utr5,Mrpl44,0.629346526125597,-0.396803070557078,miR-31-5p,NA,miR-103-3p/107-3p,"miR-183-5p, miR-16-2-3p",ENSMUSG00000026248,Q9CY73,69163
chr1,82876284,82876333,50,+,16400,peak9285,Agfg1,Agfg1,NA,NA,NA,NA,FALSE,NA,exon,Agfg1,0.6051417578705662,0.3889154792983517,miR-19-3p,NA,miR-17-5p/20-5p/93-5p/106-5p,NA,ENSMUSG00000026159,Q8K2K6,15463
chr1,82886382,82886434,53,+,7777,peak9289,Agfg1,Agfg1,NA,NA,NA,NA,FALSE,NA,exon,Agfg1,0.4124233770000519,0.4836938537197475,miR-15-5p/16-5p/195-5p/322-5p/497-5p,NA,NA,"miR-103-3p/107-3p, miR-199-3p",ENSMUSG00000026159,Q8K2K6,15463
chr1,82886901,82886956,56,+,9040,peak9290,NA,Agfg1,NA,NA,NA,NA,FALSE,NA,intron,Agfg1,0.36001391644546504,-0.49707146953148024,"let-7-5p/miR-98-5p, miR-200-3p/429-3p, miR-16-2-3p",miR-196-5p,NA,miR-374b-5p,ENSMUSG00000026159,Q8K2K6,15463
chr1,82895387,82895451,65,+,15745,peak9298,Agfg1,NA,NA,NA,Agfg1,Agfg1,FALSE,NA,utr3,Agfg1,0.3125250793363788,0.7712764954337233,NA,miR-1198-5p,miR-24-3p,"miR-23-3p, miR-194-5p, miR-17-5p/20-5p/93-5p/106-5p",ENSMUSG00000026159,Q8K2K6,15463
chr1,82896038,82896097,60,+,8729,peak9299,Agfg1,NA,NA,NA,Agfg1,Agfg1,FALSE,NA,utr3,Agfg1,0.49321563466118495,0.4291463047716178,miR-181-5p,miR-27-3p,miR-16-2-3p,miR-19-3p,ENSMUSG00000026159,Q8K2K6,15463
chr1,85850312,85850371,60,+,7812,peak9346,Cab39,NA,NA,NA,Cab39,Cab39,FALSE,NA,utr3,Cab39,0.12366232582678212,1.0970534125638787,NA,NA,NA,NA,ENSMUSG00000036707,Q06138,12283
